site_code,tree_id,year,dbh,moisture,total_larv,phloem_SA
Nor,2017.Nor.Sen 1.Low.Ungirdled,2017,12.4,48.06,0,1613.8125
Nor,2017.Nor.Sen 10.Low.Ungirdled,2017,10.4,38.76,0,2781
Nor,2017.Nor.Sen 2.Low.Ungirdled,2017,9.3,39,1,1487.2
Nor,2017.Nor.Sen 3.Low.Girdled,2017,8.2,36.46,0,5712
Nor,2017.Nor.Sen 4.Low.Girdled,2017,9.2,48.53,0,4380
Nor,2017.Nor.Sen 5.Low.Ungirdled,2017,5.5,36.46,1,747.215
Nor,2017.Nor.Sen 6.Low.Girdled,2017,6.6,38.96,0,2050.1
Nor,2017.Nor.Sen 7.Low.Girdled,2017,7.8,39.83,2,1074.31875
Nor,2017.Nor.Sen 8.Low.Ungirdled,2017,7.6,38.5,3,1034.425
Nor,2017.Nor.Sen 9.Low.Girdled,2017,7.2,41,2,916.65
BP,2018.BP.3.Control.Girdled,2018,6.4,50.07777778,2,
BP,2018.BP.4.High.Ungirdled,2018,9,42.56666667,22,
BP,2018.BP.5.Low.Girdled,2018,8.9,45.4,5,
BP,2018.BP.6.Control.Girdled,2018,8.1,45.43333333,0,
BP,2018.BP.7.Low.Ungirdled,2018,6.6,43.76666667,5,
BP,2018.BP.8.High.Girdled,2018,6,39.6,17,
BP,2018.BP.9.Low.Ungirdled,2018,3.2,37.53333333,9,
BP,2018.BP.10.High.Girdled,2018,7.7,38.31666667,6,
BP,2018.BP.11.Control.Girdled,2018,8,38.36666667,5,
BP,2018.BP.12.Low.Ungirdled,2018,8,41.98333333,5,
BP,2018.BP.13.Control.Ungirdled,2018,7,46.38333333,1,
BP,2018.BP.14.Control.Ungirdled,2018,4.9,49.95,0,
BP,2018.BP.15.Control.Ungirdled,2018,4.2,39.91666667,0,
BP,2018.BP.16.Low.Girdled,2018,3,30.98333333,3,
BP,2018.BP.17.High.Girdled,2018,4.7,45.9,5,
BP,2018.BP.18.Low.Ungirdled,2018,6.4,46.85,7,
BP,2018.BP.19.Low.Girdled,2018,6.6,44.13333333,7,
BP,2018.BP.20.High.Ungirdled,2018,7.1,39.38333333,11,
BP,2018.BP.21.Low.Ungirdled,2018,3.8,43.81666667,11,
BP,2018.BP.22.High.Ungirdled,2018,8.5,44.6,39,
BP,2018.BP.23.High.Girdled,2018,4.2,49.05,0,
BP,2018.BP.24.High.Girdled,2018,3.8,39.8,11,
BP,2018.BP.25.Low.Girdled,2018,4.8,44.11666667,4,
BP,2018.BP.26.High.Ungirdled,2018,5,39.73333333,0,
BP,2018.BP.27.Control.Ungirdled,2018,8,42.31666667,0,
BP,2018.BP.28.Low.Girdled,2018,9.5,44.96666667,37,
BP,2018.BP.29.Low.Ungirdled,2018,9.6,34.7,8,
BP,2018.BP.30.High.Ungirdled,2018,4.5,25.4,8,
BP,2018.BP.31.Low.Girdled,2018,4.8,41.2,14,
BP,2018.BP.32.Control.Girdled,2018,7.2,44.73333333,5,
BP,2018.BP.33.High.Girdled,2018,3.7,26.36666667,10,
BP,2018.BP.34.High.Girdled,2018,3.5,45.38333333,14,
BP,2018.BP.35.High.Girdled,2018,5.3,42.31666667,8,
BP,2018.BP.36.Low.Girdled,2018,0,21.83333333,0,
LA,2018.LA.4.Low.Girdled,2018,8.8,45.38333333,1,
LA,2018.LA.5.Low.Girdled,2018,4.4,39.8,5,
LA,2018.LA.6.High.Girdled,2018,7.8,22,9,
LA,2018.LA.7.High.Ungirdled,2018,5.6,39.03333333,0,
LA,2018.LA.8.High.Girdled,2018,7.1,30.03333333,8,
LA,2018.LA.9.Control.Girdled,2018,9,43.28333333,0,
LA,2018.LA.10.High.Ungirdled,2018,5.8,28.5,0,
LA,2018.LA.11.High.Ungirdled,2018,7.7,39.85,12,
LA,2018.LA.12.Control.Ungirdled,2018,7.8,42.31666667,3,
LA,2018.LA.13.Control.Girdled,2018,8.1,44.35,0,
LA,2018.LA.14.Low.Ungirdled,2018,7.2,44.18333333,9,
LA,2018.LA.15.Low.Girdled,2018,6.9,49.58333333,6,
LA,2018.LA.16.Control.Ungirdled,2018,4,45.11666667,1,
LA,2018.LA.17.Low.Ungirdled,2018,6.7,45.7,5,
LA,2018.LA.18.High.Ungirdled,2018,4.6,31.71666667,17,
LA,2018.LA.19.High.Girdled,2018,5.5,21,0,
LA,2018.LA.20.High.Ungirdled,2018,5.3,47.06666667,14,
LA,2018.LA.21.Control.Ungirdled,2018,6.6,45.48333333,15,
LA,2018.LA.22.High.Ungirdled,2018,4.3,37.68333333,17,
LA,2018.LA.23.Control.Girdled,2018,3.9,35.1,0,
LA,2018.LA.24.Control.Girdled,2018,8,42.03333333,2,
LA,2018.LA.25.Low.Ungirdled,2018,8.3,42.11666667,6,
LA,2018.LA.26.Low.Ungirdled,2018,6.8,47,4,
LA,2018.LA.27.Low.Girdled,2018,4.2,40.38333333,7,
LA,2018.LA.28.High.Girdled,2018,5.5,44.21666667,17,
LA,2018.LA.29.Low.Girdled,2018,7.1,45.76666667,5,
LA,2018.LA.30.High.Girdled,2018,5,49.11666667,14,
LA,2018.LA.31.Low.Girdled,2018,5.8,47.36666667,3,
LA,2018.LA.32.Low.Ungirdled,2018,3.7,54.46666667,7,
LA,2018.LA.33.Low.Ungirdled,2018,4.4,35.71666667,6,
LA,2018.LA.34.High.Girdled,2018,4.6,42.75,2,
LA,2018.LA.35.Control.Ungirdled,2018,4.5,29.45555556,0,
SI,2018.SI.1.Low.Ungirdled,2018,4.4,34.18333333,16,
SI,2018.SI.2.Control.Girdled,2018,3.2,32.46666667,1,
SI,2018.SI.3.High.Girdled,2018,3.3,33.63333333,13,
SI,2018.SI.4.Control.Girdled,2018,8.5,22.46666667,0,
SI,2018.SI.5.Control.Girdled,2018,7.4,38.46666667,2,
SI,2018.SI.6.Control.Ungirdled,2018,8,31.45,1,
SI,2018.SI.7.Low.Girdled,2018,9,35.11666667,2,
SI,2018.SI.8.Low.Girdled,2018,5.5,36.26666667,6,
SI,2018.SI.9.High.Ungirdled,2018,5.6,27.1,17,
SI,2018.SI.10.High.Ungirdled,2018,6.4,17.95,1,
SI,2018.SI.11.High.Girdled,2018,8.6,30.28333333,16,
SI,2018.SI.12.High.Ungirdled,2018,4.3,31.83333333,10,
SI,2018.SI.13.Control.Ungirdled,2018,4.2,39.23333333,0,
SI,2018.SI.14.Control.Ungirdled,2018,5.4,30.66666667,0,
SI,2018.SI.15.Low.Ungirdled,2018,7.5,31.75,5,
SI,2018.SI.16.High.Ungirdled,2018,8.2,26.333,0,
SI,2018.SI.17.High.Ungirdled,2018,8.7,24.7878,3,
SI,2018.SI.18.Low.Ungirdled,2018,6.8,31.31666667,2,
SI,2018.SI.19.High.Ungirdled,2018,4.5,29.91666667,13,
SI,2018.SI.20.High.Girdled,2018,7.1,18.71666667,16,
SI,2018.SI.21.High.Girdled,2018,7.4,23.81666667,0,
SI,2018.SI.22.High.Girdled,2018,5.7,33.08333333,2,
SI,2018.SI.23.Low.Girdled,2018,6.7,30.06666667,4,
SI,2018.SI.24.Low.Girdled,2018,9,19.16666667,1,
SI,2018.SI.25.Low.Ungirdled,2018,8.2,29.35,6,
SI,2018.SI.26.Control.Girdled,2018,8.4,30.8,0,
SI,2018.SI.27.Low.Ungirdled,2018,6.7,27.11666667,2,
SI,2018.SI.28.High.Girdled,2018,6.4,31.71666667,0,
SI,2018.SI.29.Low.Girdled,2018,6.1,34.5,3,
SI,2018.SI.30.Low.Girdled,2018,6.3,,4,
SI,2018.SI.31.Control.Ungirdled,2018,5.3,32.37777778,0,
SI,2018.SI.32.Low.Ungirdled,2018,8.9,20.4,6,
